ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
54,6.14.22 9:11:17,6.14.22 9:15:12,anonymous,,Female,22,Living with other people,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Natural sciences,No,Natural sciences,None;,SU (Statens Uddannelsesstøtte);,Yes,Experience for future job applications;Gain expertise and get experience in the field;Personal interest;,10.Jan,0-500,501-1000,500,More than five days a week,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree
55,6.14.22 10:00:46,6.14.22 10:05:04,anonymous,,Male,23,Living alone,Yes,Public,Master,Denmark,2.5,Because I can learn more about topics that interest me;,Engineering,No,Arts,None;,SU (Statens Uddannelsesstøtte);,No,,,,501-1000,750,three to four days a week,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree
56,6.14.22 10:01:59,6.14.22 10:05:27,anonymous,,Female,26,Living alone,Yes,Public,Master,Denmark,2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Economics,Yes,Economics,None;,Working;SU (Statens Uddannelsesstøtte);,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;",20.Nov,1001-1500,1501-2000,500,Once or twice a week,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree
57,6.14.22 9:56:17,6.14.22 10:09:06,anonymous,,Male,26,Living alone,Yes,Public,Master,Denmark,2.66,Because it is a necessity to get a good job;,Economics,Yes,History,Both;,SU (Statens Uddannelsesstøtte);Personal savings;,No,,,,501-1000,750,Once or twice a week,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral
58,6.14.22 10:05:04,6.14.22 10:19:57,anonymous,,Female,23,Living alone,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Economics,No,Economics,None;,Working;Personal savings;SU (Statens Uddannelsesstøtte);,Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",20.Nov,1501-2000,2501-3000,1000,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
59,6.14.22 10:33:13,6.14.22 10:36:19,anonymous,,Male,25,Living alone,Yes,Public,Master,Denmark,2,Because all my friends did it;,Business,Yes,Philosphy,Both;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20.Nov,1001-1500,2001-2500,1000,three to four days a week,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree
60,6.14.22 10:36:40,6.14.22 10:38:43,anonymous,,Female,24,Living alone,Yes,Public,Bachelor,Denmark,1.6,Because all my friends did it;Because I can learn more about topics that interest me;Because I did not know what else to do;,Engineering,No,Engineering,Both;,Personal savings;SU (Statens Uddannelsesstøtte);,No,,,,1001-1500,1250,three to four days a week,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Strongly agree
61,6.14.22 10:42:12,6.14.22 10:45:29,anonymous,,Female,24,Living with other people,Yes,Public,Bachelor,Germany,2.5,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Medicine,Yes,Arts,Both;,Family;,No,,,,501-1000,750,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
62,6.14.22 11:05:55,6.14.22 11:16:11,anonymous,,Female,23,Living with other people,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;,Economics,No,Economics,None;,Working;SU (Statens Uddannelsesstøtte);,Yes,Experience for future job applications;Gain expertise and get experience in the field;,20.Nov,501-1000,1001-1500,500,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree
63,6.14.22 12:23:17,6.14.22 12:27:00,anonymous,,Female,24,Living with other people,Yes,Public,Master,Denmark,1.5,Because I can learn more about topics that interest me;,Economics,No,Economics,None;,SU (Statens Uddannelsesstøtte);,No,,,,1001-1500,1250,Once or twice a week,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
64,6.14.22 12:37:34,6.14.22 12:44:51,anonymous,,Male,24,Living with other people,Yes,Public,Bachelor,Switzerland,2.1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;Because it is a fun time;,Business,Yes,Business,Mother;,"Working;Personal savings;State loan (BAFog, Student loan..);Scholarships;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20.Nov,1501-2000,2001-2500,500,three to four days a week,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral
65,6.14.22 12:45:51,6.14.22 12:48:41,anonymous,,Male,23,Living alone,Yes,Public,Bachelor,Switzerland,,Because it is a necessity to get a good job;earn more money;,Business,Yes,Philosphy,None;,Personal savings;Family;,No,,,,,0,three to four days a week,Disagree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Agree
66,6.14.22 12:39:20,6.14.22 12:49:32,anonymous,,Male,30,Living with other people,Yes,Public,Bachelor,Switzerland,2,Because it is a necessity to get a good job;,Economics,No,Education,Both;,Personal savings;Scholarships;,No,,,,0-500,250,Once or twice a week,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Strongly agree
67,6.14.22 12:47:39,6.14.22 12:50:19,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Germany,1.7,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Business ,No,,Father;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;Fun;",20.Nov,501-1000,1001-1500,500,three to four days a week,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree
69,6.14.22 12:50:18,6.14.22 12:55:07,anonymous,,Female,22,Living with parents,Yes,Public,Bachelor,Switzerland,2,Because I can learn more about topics that interest me;,Humanities,No,Humanities,None;,Family;,No,,,,0-500,250,Once or twice a week,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree
71,6.14.22 13:00:15,6.14.22 13:02:34,anonymous,,Male,22,Living with other people,Yes,Public,Bachelor,Switzerland,1.3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I can see new cities and meet new places;,Business,Yes,Sports,None;,Family;Personal savings;,No,,,,1001-1500,1250,three to four days a week,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral
72,6.14.22 13:08:09,6.14.22 13:09:26,anonymous,,Male,22,Living with other people,Yes,Public,Bachelor,Switzerland,1.3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I can see new cities and meet new places;,Business,Yes,Sports,None;,Family;Personal savings;,No,,,,1001-1500,1250,three to four days a week,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
73,6.14.22 13:06:51,6.14.22 13:10:07,anonymous,,Female,22,Living with parents,Yes,Public,Bachelor,Switzerland,2,Because i need it for my dream job;,Humanities,No,,None;,Family;,No,,,,0-500,250,Once or twice a week,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree
74,6.14.22 13:26:03,6.14.22 13:29:19,anonymous,,Male,24,Living with parents,Yes,Public,Bachelor,Switzerland,2.5,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I can see new cities and meet new places;,Economics,Yes,History,None;,Working;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",21-30,2501-3000,2501-3000,0,Once or twice a week,Agree,Neutral,Strongly agree,Neutral,Disagree,Agree,Neutral
75,6.14.22 13:40:13,6.14.22 13:44:12,anonymous,,Female,30,Living with parents,Yes,Public,Bachelor,Switzerland,5,Because it is a necessity to get a good job;,Humanities,No,,None;,Family;Working;Personal savings;,Yes,"To finance necessities (Food, studies, rent);",10.Jan,0-500,2001-2500,2000,Once or twice a week,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree
76,6.14.22 13:41:34,6.14.22 13:48:28,anonymous,,Female,24,Living with parents,Yes,Public,Bachelor,Netherlands,2.7,Because I did not know what else to do;Because all my friends did it;,Political science,No,This did not play a role in deciding my studies,Father;,Family;,Yes,"I have much spare time besides my studies;To finance the nonnecessities (sociallife, party, travel);",10.Jan,0-500,501-1000,500,three to four days a week,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral
77,6.14.22 14:03:25,6.14.22 14:06:57,anonymous,,Male,23,Living with parents,Yes,Public,Bachelor,Switzerland,4,Because I can learn more about topics that interest me;Because I can see new cities and meet new places;Because it is a fun time;,,Yes,Philosphy,None;,Working;Personal savings;,No,,,,0-500,250,three to four days a week,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,Agree
78,6.14.22 14:03:01,6.14.22 14:12:30,anonymous,,Female,23,Living with other people,Yes,Public,Bachelor,Switzerland,2,Because I can learn more about topics that interest me;to educate myself;,Humanities,No,Humanities,None;,Working;Personal savings;Family;,Yes,"To finance necessities (Food, studies, rent);",10.Jan,501-1000,1001-1500,500,Once or twice a week,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree
79,6.14.22 15:26:55,6.14.22 15:42:23,anonymous,,Male,25,Living with other people,Yes,Public,Bachelor,Switzerland,2.3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Economics,No,Economics,None;,Working;,Yes,"To finance necessities (Food, studies, rent);",10.Jan,0-500,1501-2000,1500,three to four days a week,Strongly agree,Disagree,Strongly agree,Agree,Agree,Neutral,Strongly agree
